iter	RMSE
134	2.010465948
135	2.009532789
136	2.00870545
137	2.007891044
138	2.007208348
139	2.006699811
140	2.005949954
141	2.005374657
142	2.004821174
143	2.004124129
144	2.003220675
145	2.002725591
146	2.002041298
147	2.001412076
148	2.000769093
149	2.00032757
150	1.99960281
151	1.998917799
152	1.998279872
153	1.997592693
154	1.996752204
155	1.995943456
156	1.995549079
157	1.994754722
158	1.994022123
159	1.993524227
160	1.992915262
161	1.992322944
162	1.991466094
163	1.9908674
164	1.990165108
165	1.989654037
166	1.989081576
167	1.988475391
168	1.987970535
169	1.987232274
170	1.986460867
171	1.985931209
172	1.98511108
173	1.984361581
174	1.983826316
175	1.983250868
176	1.982692823
177	1.982138143
178	1.981596524
179	1.980918733
180	1.980355066
181	1.979826085
182	1.979401046
183	1.978931507
184	1.978166951
185	1.977478533
186	1.976836463
187	1.976254461
188	1.975705771
189	1.975040494
190	1.974398723
191	1.973761539
192	1.973179841
193	1.972697416
194	1.972127962
195	1.971580935
196	1.971047702
197	1.970547316
198	1.970002539
199	1.969544516
200	1.968953405
201	1.9683321
202	1.967820467
203	1.967253529
204	1.966613603
205	1.966179999
206	1.965731648
207	1.965301376
208	1.964837081
209	1.964002908
210	1.963546903
211	1.963011872
212	1.962339763
213	1.961807349
214	1.961293346
215	1.960589885
216	1.960087535
217	1.95952651
218	1.958813604
219	1.958437244
220	1.958036944
221	1.957328748
222	1.956915353
223	1.956326364
224	1.955894856
225	1.955342661
226	1.954862898
227	1.954363287
228	1.953782105
229	1.953493645
230	1.953127669
231	1.952636052
232	1.952188023
233	1.951661137
234	1.951179132
235	1.950791375
236	1.950415727
237	1.949983431
238	1.949338654
239	1.948911454
240	1.948392984
241	1.947921602
242	1.947266893
243	1.946972588
244	1.946524408
245	1.946161198
246	1.945669363
247	1.945098936
248	1.944596026
249	1.944130142
250	1.943583733
251	1.943154867
252	1.942489607
253	1.942094942
254	1.941717767
255	1.941211729
256	1.940727601
257	1.940118712
258	1.939699331
259	1.939237839
260	1.93851952
261	1.938057088
262	1.937615367
263	1.936945596
264	1.93649441
265	1.936041072
266	1.935555588
267	1.935160558
268	1.93470017
269	1.934277388
270	1.933765374
271	1.93304032
272	1.93244728
273	1.931908284
274	1.931341607
275	1.930786619
276	1.930314237
277	1.929784638
278	1.929353588
279	1.92903402
280	1.928662089
281	1.928225119
282	1.927858348
283	1.927395611
284	1.92703601
285	1.926607618
286	1.926134856
287	1.925763523
288	1.925274166
289	1.924743327
290	1.924139761
291	1.923483862
292	1.923069087
293	1.922735388
294	1.922264248
295	1.921803309
296	1.92142745
297	1.921042066
298	1.920728204
299	1.920234517
300	1.919695802
301	1.919193885
302	1.918739861
303	1.918222469
304	1.917810019
305	1.917415862
306	1.917008819
307	1.916581434
308	1.916170111
309	1.915784995
310	1.915401045
311	1.914965981
312	1.914525249
313	1.914169686
314	1.91373035
315	1.913414735
316	1.913172126
317	1.912559704
318	1.911933492
319	1.911590975
320	1.911161497
321	1.910613637
322	1.910118443
323	1.909771927
324	1.909229565
325	1.908930598
326	1.908505048
327	1.908172466
328	1.907832806
329	1.907539551
330	1.907136189
331	1.906662141
332	1.906259973
333	1.905944351
334	1.905565983
335	1.905248807
336	1.904846224
337	1.904332819
338	1.903927661
339	1.903620424
340	1.903162204
341	1.902753703
342	1.902456378
343	1.901909416
344	1.901589693
345	1.901156561
346	1.900777286
347	1.900399293
348	1.89990673
349	1.899496179
350	1.899100585
351	1.898552637
352	1.898129083
353	1.897794398
354	1.897220981
355	1.896960895
356	1.896546059
357	1.89616954
358	1.895718854
359	1.895262945
360	1.894853298
361	1.894494424
362	1.89399202
363	1.893568871
364	1.893347487
365	1.892901958
366	1.892423357
367	1.891983163
368	1.891661112
369	1.891266565
370	1.89086006
371	1.890542477
372	1.890197425
373	1.88993045
374	1.889685667
375	1.889133028
376	1.888569528
377	1.888135408
378	1.887875666
379	1.88735222
380	1.886879458
381	1.886539327
382	1.886083005
383	1.885682492
384	1.885250775
385	1.88488387
386	1.884513741
387	1.884086362
388	1.883765352
389	1.883326582
390	1.882981665
391	1.882623559
392	1.882325526
393	1.881955884
394	1.881621656
395	1.881201159
396	1.880839062
397	1.880178276
398	1.879779014
399	1.879364677
400	1.879027715
401	1.878511442
402	1.878121713
403	1.877643735
404	1.877240132
405	1.876835308
406	1.876287905
407	1.876046053
408	1.875798675
409	1.87529755
410	1.874980618
411	1.87464774
412	1.874360354
413	1.87413452
414	1.873750795
415	1.873329873
416	1.872988034
417	1.872693868
418	1.872284709
419	1.871864556
420	1.871670246
421	1.871371693
422	1.870826466
423	1.870345632
424	1.87001995
425	1.869571163
426	1.869086069
427	1.868612043
428	1.868116383
429	1.867643031
430	1.867357377
431	1.866930531
432	1.866686576
433	1.866105175
434	1.865756006
435	1.865422393
436	1.865055423
437	1.864715976
438	1.864433091
439	1.864145047
440	1.863826707
441	1.863495192
442	1.863084698
443	1.862767796
444	1.86238208
445	1.862076897
446	1.861731894
447	1.861409001
448	1.860961817
449	1.860576406
450	1.860141828
451	1.859791399
452	1.859377539
453	1.859196471
454	1.858827581
455	1.858476759
456	1.858125812
457	1.857832803
458	1.857510634
459	1.857173418
460	1.856931169
461	1.856518491
462	1.856213228
463	1.855820831
464	1.855469995
465	1.855169543
466	1.854806053
467	1.854385167
468	1.854034437
469	1.853738738
470	1.853413749
471	1.853117969
472	1.852820865
473	1.852348411
474	1.852166481
475	1.851787423
476	1.851415295
477	1.851039161
478	1.850794188
479	1.850274523
480	1.850080858
481	1.849695198
482	1.849371065
483	1.849004169
484	1.848671864
485	1.848313434
486	1.848040757
487	1.84768882
488	1.847423835
489	1.847048295
490	1.846695555
491	1.846338579
492	1.84615113
493	1.84578099
494	1.845422366
495	1.845097421
496	1.84481554
497	1.844554458
498	1.84416999
499	1.843908049
